Frame,Time (s),COP_x (m)
1,0,0
2,0.014,0
3,0.029,0
4,0.043,0
5,0.057,0
6,0.072,0
7,0.086,0
8,0.1,0
9,0.114,0
10,0.129,0
11,0.143,0
12,0.157,0
13,0.172,0
14,0.186,0
15,0.2,0
16,0.215,0
17,0.229,0
18,0.243,0
19,0.257,0
20,0.272,0
21,0.286,0
22,0.3,0
23,0.315,0
24,0.329,0
25,0.343,0
26,0.357,0
27,0.372,0
28,0.386,1.227
29,0.4,1.244
30,0.415,1.261
31,0.429,1.291
32,0.443,1.29
33,0.458,1.301
34,0.472,1.304
35,0.486,1.311
36,0.5,1.317
37,0.515,1.316
38,0.529,1.321
39,0.543,1.322
40,0.558,1.325
41,0.572,1.333
42,0.586,1.335
43,0.601,1.345
44,0.615,1.358
45,0.629,1.369
46,0.643,1.377
47,0.658,1.384
48,0.672,1.39
49,0.686,1.396
50,0.701,1.406
51,0.715,1.417
52,0.729,1.412
53,0.744,1.424
54,0.758,1.428
55,0.772,1.432
56,0.786,1.436
57,0.801,1.44
58,0.815,1.444
59,0.829,1.447
60,0.844,1.451
61,0.858,1.455
62,0.872,1.459
63,0.887,1.463
64,0.901,1.467
65,0.915,1.47
66,0.929,1.474
67,0.944,1.478
68,0.958,1.482
69,0.972,1.486
70,0.987,0
71,1.001,0
72,1.015,0
73,1.03,0
74,1.044,0
75,1.058,0
76,1.072,0
77,1.087,0
78,1.101,0
79,1.115,0
80,1.13,0
81,1.144,0
82,1.158,0
83,1.173,0
84,1.187,0
85,1.201,0
86,1.215,0
87,1.23,0
88,1.244,0
89,1.258,0
90,1.273,0
91,1.287,0
92,1.301,0
93,1.316,0
94,1.33,0
95,1.344,0
96,1.358,0
97,1.373,0
98,1.387,0
99,1.401,0
100,1.416,0
101,1.43,0
102,1.444,0
103,1.459,0
104,1.473,0
105,1.487,0
106,1.501,0
